flight_id,airline,flight_number,aircraft_type,departure_airport,arrival_airport,scheduled_departure_time,actual_departure_time,scheduled_arrival_time,actual_arrival_time,gate,terminal,created_at
FL1487-383,JetBlue Airways,220,Airbus A320,LAX,LAX,2024-03-06 06:36:38,2024-03-06 06:41:38,2024-03-06 08:36:38,2024-03-06 08:06:38,C11,3,2024-06-06 03:58:22
FL6698-253,Delta Air Lines,698,Airbus A380,ATL,JFK,2024-06-24 14:50:29,2024-06-24 14:17:29,2024-06-24 16:50:29,2024-06-24 16:11:29,A7,4,2024-05-03 08:33:34
FL5235-438,United Airlines,511,Airbus A320,ORD,LAX,2024-06-12 16:27:53,2024-06-12 16:37:53,2024-06-12 18:27:53,2024-06-12 19:23:53,B11,4,2024-03-15 23:30:51
FL1539-507,American Airlines,811,Airbus A380,SFO,ORD,2024-01-02 18:40:56,2024-01-02 18:01:56,2024-01-02 20:40:56,2024-01-02 21:15:56,A1,4,2024-06-10 15:46:23
FL1928-341,JetBlue Airways,543,Boeing 777,ATL,JFK,2024-05-30 13:19:13,2024-05-30 12:58:13,2024-05-30 15:19:13,2024-05-30 15:38:13,B12,1,2024-01-11 01:59:45
FL8438-735,Delta Air Lines,716,Boeing 777,JFK,LAX,2024-02-20 14:37:33,2024-02-20 14:29:33,2024-02-20 16:37:33,2024-02-20 16:21:33,A12,4,2024-04-28 10:18:38
FL5517-837,Delta Air Lines,543,Boeing 737,ORD,ORD,2024-06-23 02:17:36,2024-06-23 01:39:36,2024-06-23 04:17:36,2024-06-23 04:01:36,A9,3,2024-06-19 19:21:17
FL5399-112,American Airlines,657,Boeing 777,ATL,JFK,2024-05-13 09:05:27,2024-05-13 09:13:27,2024-05-13 11:05:27,2024-05-13 11:48:27,A2,4,2024-07-11 07:09:38
FL3468-427,American Airlines,864,Boeing 737,ORD,JFK,2024-02-01 08:44:40,2024-02-01 09:12:40,2024-02-01 10:44:40,2024-02-01 10:18:40,B2,1,2024-01-26 20:56:37
FL4825-549,JetBlue Airways,880,Boeing 777,SFO,ORD,2024-03-09 14:44:31,2024-03-09 15:29:31,2024-03-09 16:44:31,2024-03-09 16:02:31,C12,3,2024-06-27 22:36:34
FL4337-550,American Airlines,240,Airbus A320,LAX,ATL,2024-01-30 17:39:59,2024-01-30 17:16:59,2024-01-30 19:39:59,2024-01-30 19:27:59,A6,2,2024-05-04 11:51:23
FL2190-500,Delta Air Lines,524,Airbus A320,SFO,LAX,2024-06-03 07:54:51,2024-06-03 08:37:51,2024-06-03 09:54:51,2024-06-03 10:10:51,C3,2,2024-06-26 13:04:56
FL6774-691,United Airlines,927,Boeing 737,SFO,SFO,2024-03-02 23:02:55,2024-03-02 22:32:55,2024-03-03 01:02:55,2024-03-03 01:00:55,C9,2,2024-06-04 16:09:38
FL5285-912,JetBlue Airways,765,Airbus A320,SFO,JFK,2024-06-11 06:54:00,2024-06-11 06:57:00,2024-06-11 08:54:00,2024-06-11 09:12:00,C2,4,2024-04-27 22:19:56
FL1908-516,JetBlue Airways,393,Airbus A320,LAX,ATL,2024-03-16 01:58:00,2024-03-16 01:15:00,2024-03-16 03:58:00,2024-03-16 04:21:00,A13,1,2024-06-14 15:44:29
FL8337-750,Southwest Airlines,549,Boeing 777,ATL,JFK,2024-03-05 20:04:33,2024-03-05 20:08:33,2024-03-05 22:04:33,2024-03-05 22:14:33,B6,3,2024-03-17 04:23:23
FL9199-349,United Airlines,601,Airbus A320,SFO,SFO,2024-04-28 11:55:21,2024-04-28 12:04:21,2024-04-28 13:55:21,2024-04-28 14:24:21,C15,3,2024-02-13 08:22:03
FL5906-706,United Airlines,401,Airbus A320,JFK,ATL,2024-06-27 06:38:53,2024-06-27 06:18:53,2024-06-27 08:38:53,2024-06-27 09:05:53,A10,3,2024-03-02 09:29:43
FL8896-378,United Airlines,507,Airbus A320,ATL,SFO,2024-03-10 20:50:29,2024-03-10 20:55:29,2024-03-10 22:50:29,2024-03-10 22:53:29,C9,3,2024-06-19 14:56:38
FL6003-579,United Airlines,453,Boeing 777,ATL,JFK,2024-05-05 00:27:57,2024-05-05 00:50:57,2024-05-05 02:27:57,2024-05-05 02:09:57,A13,1,2024-05-01 17:11:41
FL5270-243,United Airlines,670,Airbus A380,ATL,ORD,2024-06-10 08:39:35,2024-06-10 08:36:35,2024-06-10 10:39:35,2024-06-10 10:10:35,C6,4,2024-01-10 21:36:31
FL7377-227,Southwest Airlines,821,Airbus A380,SFO,JFK,2024-06-06 15:39:53,2024-06-06 16:15:53,2024-06-06 17:39:53,2024-06-06 18:08:53,B1,2,2024-01-28 10:05:43
FL3660-597,Southwest Airlines,233,Boeing 777,JFK,LAX,2024-07-11 22:52:41,2024-07-11 22:31:41,2024-07-12 00:52:41,2024-07-12 00:51:41,A9,2,2024-02-07 08:36:59
FL2585-773,United Airlines,712,Airbus A380,JFK,SFO,2024-03-19 10:13:23,2024-03-19 10:56:23,2024-03-19 12:13:23,2024-03-19 11:28:23,C13,2,2024-06-11 14:41:53
FL3816-520,Southwest Airlines,264,Boeing 737,ORD,JFK,2024-02-27 03:06:50,2024-02-27 03:51:50,2024-02-27 05:06:50,2024-02-27 05:02:50,C10,3,2024-01-22 00:27:53
FL6344-358,American Airlines,722,Airbus A380,ORD,JFK,2024-06-24 06:59:21,2024-06-24 06:43:21,2024-06-24 08:59:21,2024-06-24 08:24:21,C11,2,2024-05-08 21:38:01
FL7665-867,JetBlue Airways,684,Airbus A320,LAX,SFO,2024-02-08 17:53:29,2024-02-08 17:57:29,2024-02-08 19:53:29,2024-02-08 19:55:29,C3,3,2024-03-03 20:04:34
FL9735-165,Southwest Airlines,390,Airbus A380,SFO,SFO,2024-05-15 22:09:45,2024-05-15 21:34:45,2024-05-16 00:09:45,2024-05-15 23:47:45,A6,3,2024-05-05 10:35:21
FL7809-848,Delta Air Lines,914,Airbus A380,ORD,SFO,2024-02-14 07:44:23,2024-02-14 07:43:23,2024-02-14 09:44:23,2024-02-14 09:36:23,B3,2,2024-06-27 02:03:51
FL4585-166,American Airlines,354,Airbus A380,ATL,ATL,2024-02-19 01:56:19,2024-02-19 01:32:19,2024-02-19 03:56:19,2024-02-19 03:38:19,B14,1,2024-02-14 10:17:41
FL1897-640,American Airlines,364,Boeing 737,LAX,ATL,2024-02-15 20:51:18,2024-02-15 21:30:18,2024-02-15 22:51:18,2024-02-15 22:48:18,B10,2,2024-05-08 07:02:08
FL7034-655,American Airlines,451,Airbus A380,ATL,JFK,2024-01-28 02:17:39,2024-01-28 02:25:39,2024-01-28 04:17:39,2024-01-28 04:06:39,A3,2,2024-03-01 12:51:42
FL5178-339,American Airlines,756,Boeing 737,JFK,JFK,2024-04-15 15:11:12,2024-04-15 15:43:12,2024-04-15 17:11:12,2024-04-15 17:25:12,A2,3,2024-03-22 10:37:59
FL7454-153,American Airlines,208,Boeing 777,ORD,JFK,2024-04-11 23:59:11,2024-04-11 23:59:11,2024-04-12 01:59:11,2024-04-12 01:56:11,B2,3,2024-01-17 08:14:58
FL2517-824,JetBlue Airways,147,Boeing 737,LAX,ORD,2024-02-08 01:22:57,2024-02-08 00:42:57,2024-02-08 03:22:57,2024-02-08 03:04:57,C3,1,2024-02-05 07:38:18
FL3669-663,American Airlines,111,Airbus A320,JFK,JFK,2024-04-26 01:31:55,2024-04-26 02:03:55,2024-04-26 03:31:55,2024-04-26 03:29:55,B11,3,2024-05-07 00:56:52
FL6118-122,United Airlines,498,Airbus A380,JFK,SFO,2024-02-07 17:26:49,2024-02-07 16:50:49,2024-02-07 19:26:49,2024-02-07 19:30:49,B7,2,2024-03-11 05:13:01
FL8872-654,JetBlue Airways,474,Boeing 777,SFO,ATL,2024-06-23 17:30:42,2024-06-23 17:05:42,2024-06-23 19:30:42,2024-06-23 19:01:42,C9,2,2024-05-02 21:52:06
FL1415-855,American Airlines,922,Boeing 737,ATL,LAX,2024-01-09 02:57:29,2024-01-09 03:28:29,2024-01-09 04:57:29,2024-01-09 05:04:29,B15,2,2024-04-29 09:44:34
FL3596-438,Delta Air Lines,420,Airbus A380,ORD,LAX,2024-04-11 15:53:40,2024-04-11 16:28:40,2024-04-11 17:53:40,2024-04-11 18:33:40,B2,4,2024-01-18 17:31:49
FL8836-691,Delta Air Lines,882,Boeing 737,LAX,LAX,2024-05-27 10:45:46,2024-05-27 10:17:46,2024-05-27 12:45:46,2024-05-27 12:26:46,B11,1,2024-04-09 02:14:01
FL6762-352,United Airlines,315,Airbus A320,ORD,LAX,2024-02-29 20:36:41,2024-02-29 20:44:41,2024-02-29 22:36:41,2024-02-29 22:16:41,A9,1,2024-03-22 11:20:47
FL1699-497,American Airlines,839,Airbus A320,LAX,SFO,2024-04-11 09:17:46,2024-04-11 09:55:46,2024-04-11 11:17:46,2024-04-11 11:42:46,B1,2,2024-05-28 09:33:25
FL8978-120,Delta Air Lines,610,Airbus A380,LAX,JFK,2024-03-06 07:35:11,2024-03-06 07:10:11,2024-03-06 09:35:11,2024-03-06 09:27:11,A14,2,2024-04-11 20:54:08
FL6914-359,American Airlines,363,Boeing 777,ATL,SFO,2024-03-05 15:35:35,2024-03-05 14:50:35,2024-03-05 17:35:35,2024-03-05 18:02:35,C13,1,2024-04-22 18:27:37
FL4874-102,Delta Air Lines,858,Boeing 777,JFK,LAX,2024-03-14 18:29:44,2024-03-14 18:45:44,2024-03-14 20:29:44,2024-03-14 19:44:44,C15,3,2024-04-13 03:06:37
FL5894-970,JetBlue Airways,296,Airbus A380,ORD,SFO,2024-05-29 08:32:02,2024-05-29 09:15:02,2024-05-29 10:32:02,2024-05-29 10:12:02,C2,1,2024-02-02 06:36:18
FL3719-499,Delta Air Lines,346,Airbus A380,JFK,ORD,2024-06-21 18:57:44,2024-06-21 18:32:44,2024-06-21 20:57:44,2024-06-21 21:07:44,C10,2,2024-06-12 08:40:16
FL2975-374,United Airlines,769,Boeing 777,JFK,ORD,2024-03-21 03:20:57,2024-03-21 03:13:57,2024-03-21 05:20:57,2024-03-21 05:46:57,A11,2,2024-07-04 16:58:10
FL7691-295,Southwest Airlines,193,Airbus A320,ORD,ORD,2024-05-30 06:25:59,2024-05-30 06:19:59,2024-05-30 08:25:59,2024-05-30 07:59:59,B4,2,2024-01-18 02:48:13
FL6551-239,American Airlines,322,Boeing 777,LAX,JFK,2024-01-08 01:42:03,2024-01-08 00:58:03,2024-01-08 03:42:03,2024-01-08 03:51:03,A3,4,2024-04-30 05:13:11
FL6784-806,JetBlue Airways,419,Airbus A380,ORD,ATL,2024-03-23 21:19:51,2024-03-23 21:10:51,2024-03-23 23:19:51,2024-03-23 23:20:51,C14,2,2024-01-09 02:40:08
FL7437-529,JetBlue Airways,362,Boeing 777,JFK,ATL,2024-02-07 10:27:56,2024-02-07 10:58:56,2024-02-07 12:27:56,2024-02-07 12:49:56,A1,2,2024-03-13 08:00:32
FL8714-761,JetBlue Airways,704,Boeing 737,ATL,SFO,2024-02-01 22:11:22,2024-02-01 21:57:22,2024-02-02 00:11:22,2024-02-01 23:38:22,C15,1,2024-06-20 11:33:02
FL5085-237,American Airlines,695,Boeing 777,ATL,ORD,2024-05-01 04:46:41,2024-05-01 04:27:41,2024-05-01 06:46:41,2024-05-01 06:49:41,C6,3,2024-06-10 08:22:24
FL7078-187,Delta Air Lines,245,Boeing 737,ATL,ORD,2024-04-17 16:46:05,2024-04-17 17:22:05,2024-04-17 18:46:05,2024-04-17 18:01:05,C12,3,2024-03-17 06:48:33
FL8423-547,American Airlines,210,Boeing 777,ATL,JFK,2024-03-31 21:31:44,2024-03-31 22:13:44,2024-03-31 23:31:44,2024-03-31 23:19:44,C13,2,2024-02-17 16:32:08
FL7945-915,JetBlue Airways,106,Boeing 777,SFO,SFO,2024-02-03 01:39:56,2024-02-03 01:57:56,2024-02-03 03:39:56,2024-02-03 04:00:56,C10,3,2024-05-22 00:21:37
FL4963-927,United Airlines,780,Boeing 777,JFK,ATL,2024-06-14 14:44:01,2024-06-14 15:24:01,2024-06-14 16:44:01,2024-06-14 16:31:01,A15,2,2024-04-23 03:03:31
FL2400-214,United Airlines,967,Boeing 737,ATL,ATL,2024-03-10 12:26:33,2024-03-10 13:09:33,2024-03-10 14:26:33,2024-03-10 13:49:33,C5,1,2024-07-05 09:21:13
FL2857-414,United Airlines,524,Boeing 737,ORD,LAX,2024-06-03 02:16:46,2024-06-03 02:17:46,2024-06-03 04:16:46,2024-06-03 03:43:46,A10,2,2024-05-01 08:26:44
FL7247-706,American Airlines,914,Boeing 777,SFO,ATL,2024-06-07 17:30:45,2024-06-07 17:27:45,2024-06-07 19:30:45,2024-06-07 19:44:45,B4,1,2024-06-03 10:17:31
FL3972-129,JetBlue Airways,633,Airbus A320,ATL,ORD,2024-04-03 23:55:46,2024-04-03 23:22:46,2024-04-04 01:55:46,2024-04-04 02:11:46,B1,4,2024-04-05 01:07:17
FL6098-382,United Airlines,610,Boeing 777,LAX,LAX,2024-06-05 15:17:52,2024-06-05 15:51:52,2024-06-05 17:17:52,2024-06-05 17:24:52,C8,3,2024-06-07 02:23:45
FL5533-941,United Airlines,599,Airbus A320,ATL,JFK,2024-04-20 12:21:21,2024-04-20 12:02:21,2024-04-20 14:21:21,2024-04-20 13:45:21,A15,1,2024-01-03 04:34:48
FL6291-602,JetBlue Airways,204,Airbus A380,ORD,ATL,2024-05-12 12:22:07,2024-05-12 11:24:07,2024-05-12 14:22:07,2024-05-12 13:59:07,A6,1,2024-01-27 21:19:14
FL2328-500,United Airlines,588,Airbus A320,JFK,ORD,2024-05-05 00:25:50,2024-05-05 00:42:50,2024-05-05 02:25:50,2024-05-05 01:52:50,A10,1,2024-05-12 08:23:10
FL9717-732,American Airlines,631,Airbus A320,LAX,ATL,2024-03-17 01:48:54,2024-03-17 01:04:54,2024-03-17 03:48:54,2024-03-17 03:56:54,C4,3,2024-07-09 07:13:46
FL8742-280,United Airlines,182,Boeing 737,LAX,ATL,2024-06-20 06:05:20,2024-06-20 06:14:20,2024-06-20 08:05:20,2024-06-20 08:12:20,B5,3,2024-05-30 20:59:41
FL9685-704,United Airlines,218,Boeing 737,LAX,JFK,2024-02-12 22:59:18,2024-02-12 23:33:18,2024-02-13 00:59:18,2024-02-13 00:30:18,C11,2,2024-02-23 00:58:09
FL7956-467,American Airlines,410,Airbus A380,ORD,SFO,2024-06-10 02:48:14,2024-06-10 02:29:14,2024-06-10 04:48:14,2024-06-10 04:48:14,B14,3,2024-06-16 18:21:08
FL3915-278,JetBlue Airways,673,Boeing 737,SFO,ATL,2024-06-01 21:59:09,2024-06-01 22:23:09,2024-06-01 23:59:09,2024-06-02 00:30:09,A8,2,2024-05-07 05:42:46
FL3870-628,Southwest Airlines,412,Boeing 777,LAX,ORD,2024-01-23 10:15:27,2024-01-23 10:42:27,2024-01-23 12:15:27,2024-01-23 12:09:27,C2,2,2024-06-26 04:14:10
FL6763-979,Southwest Airlines,486,Airbus A380,JFK,ATL,2024-01-26 17:10:51,2024-01-26 16:28:51,2024-01-26 19:10:51,2024-01-26 18:47:51,C7,3,2024-02-11 16:23:33
FL2787-105,JetBlue Airways,563,Airbus A320,LAX,SFO,2024-03-03 00:35:23,2024-03-02 23:58:23,2024-03-03 02:35:23,2024-03-03 02:28:23,B10,4,2024-05-28 21:38:23
FL7367-316,American Airlines,226,Airbus A380,JFK,ORD,2024-03-26 11:10:29,2024-03-26 10:51:29,2024-03-26 13:10:29,2024-03-26 12:52:29,B5,4,2024-07-08 10:55:25
FL1051-824,Southwest Airlines,933,Boeing 777,SFO,LAX,2024-04-15 03:41:38,2024-04-15 03:52:38,2024-04-15 05:41:38,2024-04-15 05:29:38,A12,3,2024-02-13 21:33:02
FL5244-584,Delta Air Lines,868,Airbus A380,ORD,JFK,2024-02-05 23:21:10,2024-02-05 23:54:10,2024-02-06 01:21:10,2024-02-06 01:12:10,C3,4,2024-02-25 08:33:51
FL8545-162,American Airlines,493,Boeing 737,LAX,JFK,2024-04-30 18:10:29,2024-04-30 18:39:29,2024-04-30 20:10:29,2024-04-30 20:38:29,B9,2,2024-01-06 02:15:01
FL1799-918,JetBlue Airways,590,Airbus A320,ATL,ORD,2024-04-25 11:19:41,2024-04-25 11:16:41,2024-04-25 13:19:41,2024-04-25 13:01:41,C8,4,2024-02-17 16:35:43
FL2524-248,Southwest Airlines,168,Boeing 777,JFK,ATL,2024-03-17 04:16:05,2024-03-17 04:10:05,2024-03-17 06:16:05,2024-03-17 06:19:05,A13,4,2024-02-25 10:37:25
FL7281-765,American Airlines,947,Boeing 737,SFO,LAX,2024-05-03 22:43:59,2024-05-03 22:34:59,2024-05-04 00:43:59,2024-05-04 00:15:59,B13,4,2024-02-11 10:58:37
FL6165-118,Delta Air Lines,111,Airbus A320,LAX,ORD,2024-05-25 22:05:13,2024-05-25 22:00:13,2024-05-26 00:05:13,2024-05-26 00:33:13,C1,2,2024-07-07 00:07:16
FL5562-381,JetBlue Airways,521,Boeing 737,ORD,JFK,2024-04-28 21:35:06,2024-04-28 21:56:06,2024-04-28 23:35:06,2024-04-28 22:46:06,C12,4,2024-06-15 00:25:05
FL1901-478,JetBlue Airways,893,Airbus A320,SFO,LAX,2024-01-25 17:10:18,2024-01-25 17:20:18,2024-01-25 19:10:18,2024-01-25 19:14:18,A13,2,2024-02-12 05:45:33
FL1911-935,American Airlines,720,Airbus A380,ATL,LAX,2024-02-07 05:03:55,2024-02-07 04:42:55,2024-02-07 07:03:55,2024-02-07 07:48:55,B5,3,2024-05-19 02:17:15
FL5650-255,Delta Air Lines,151,Boeing 777,LAX,SFO,2024-04-23 11:25:44,2024-04-23 11:54:44,2024-04-23 13:25:44,2024-04-23 13:55:44,C8,1,2024-06-18 16:42:53
FL7295-726,United Airlines,488,Boeing 777,LAX,ORD,2024-03-13 21:27:09,2024-03-13 21:41:09,2024-03-13 23:27:09,2024-03-13 23:56:09,A7,3,2024-02-25 15:29:54
FL9747-638,United Airlines,673,Airbus A380,ORD,SFO,2024-03-02 19:14:02,2024-03-02 19:31:02,2024-03-02 21:14:02,2024-03-02 21:40:02,B13,4,2024-05-23 18:10:30
FL5338-447,JetBlue Airways,566,Airbus A320,LAX,LAX,2024-04-10 00:38:34,2024-04-10 00:31:34,2024-04-10 02:38:34,2024-04-10 02:55:34,B9,4,2024-06-09 17:31:16
FL6684-555,JetBlue Airways,203,Airbus A380,JFK,ATL,2024-05-12 01:24:53,2024-05-12 00:55:53,2024-05-12 03:24:53,2024-05-12 03:49:53,C7,4,2024-01-20 02:20:53
FL4959-123,United Airlines,244,Airbus A320,LAX,LAX,2024-05-31 02:00:40,2024-05-31 01:34:40,2024-05-31 04:00:40,2024-05-31 04:14:40,A9,4,2024-01-28 00:04:27
FL5446-812,Delta Air Lines,630,Airbus A380,LAX,SFO,2024-03-08 02:33:05,2024-03-08 02:05:05,2024-03-08 04:33:05,2024-03-08 04:28:05,C4,3,2024-05-19 10:07:19
FL3822-950,JetBlue Airways,221,Airbus A320,LAX,LAX,2024-03-26 19:57:25,2024-03-26 20:19:25,2024-03-26 21:57:25,2024-03-26 21:28:25,C10,3,2024-05-12 17:16:42
FL9999-467,Southwest Airlines,352,Airbus A380,ATL,ATL,2024-06-03 15:13:16,2024-06-03 15:16:16,2024-06-03 17:13:16,2024-06-03 16:39:16,A6,3,2024-06-12 12:28:38
FL5183-311,JetBlue Airways,254,Airbus A320,SFO,JFK,2024-04-17 10:39:49,2024-04-17 11:11:49,2024-04-17 12:39:49,2024-04-17 12:16:49,A15,3,2024-04-13 06:54:20
FL5263-474,Delta Air Lines,579,Airbus A320,ORD,ORD,2024-04-25 12:46:32,2024-04-25 12:55:32,2024-04-25 14:46:32,2024-04-25 15:15:32,A4,1,2024-02-11 07:21:02
FL4374-609,United Airlines,343,Airbus A320,LAX,ATL,2024-06-04 17:40:29,2024-06-04 18:23:29,2024-06-04 19:40:29,2024-06-04 19:20:29,A6,2,2024-04-12 09:36:06
FL3728-467,JetBlue Airways,666,Boeing 777,JFK,ORD,2024-06-30 19:29:49,2024-06-30 19:50:49,2024-06-30 21:29:49,2024-06-30 22:12:49,C11,1,2024-05-02 22:51:04
FL2674-521,Southwest Airlines,384,Boeing 777,LAX,JFK,2024-05-04 22:05:21,2024-05-04 22:14:21,2024-05-05 00:05:21,2024-05-05 00:46:21,C14,1,2024-06-26 17:22:23
FL8641-794,United Airlines,452,Airbus A380,ATL,LAX,2024-03-30 07:06:51,2024-03-30 06:35:51,2024-03-30 09:06:51,2024-03-30 08:36:51,B6,2,2024-04-14 09:53:47
FL2104-917,Delta Air Lines,298,Airbus A380,ATL,JFK,2024-04-06 19:48:29,2024-04-06 19:08:29,2024-04-06 21:48:29,2024-04-06 21:16:29,A6,3,2024-01-19 02:15:57
FL2606-393,United Airlines,909,Airbus A320,LAX,ORD,2024-02-11 13:59:14,2024-02-11 14:34:14,2024-02-11 15:59:14,2024-02-11 16:21:14,C7,4,2024-01-31 00:07:05
FL8294-979,United Airlines,613,Boeing 737,SFO,SFO,2024-06-27 00:18:54,2024-06-27 00:20:54,2024-06-27 02:18:54,2024-06-27 02:24:54,A12,4,2024-03-09 03:24:09
FL3155-879,JetBlue Airways,231,Boeing 777,LAX,LAX,2024-05-27 22:55:16,2024-05-27 22:42:16,2024-05-28 00:55:16,2024-05-28 01:34:16,B7,3,2024-03-19 21:36:38
FL5069-180,American Airlines,286,Airbus A380,JFK,SFO,2024-04-20 21:46:08,2024-04-20 21:21:08,2024-04-20 23:46:08,2024-04-20 23:12:08,C10,2,2024-05-26 08:02:20
FL3497-266,JetBlue Airways,954,Airbus A320,ORD,ORD,2024-04-29 04:18:31,2024-04-29 03:35:31,2024-04-29 06:18:31,2024-04-29 05:46:31,C1,2,2024-06-16 20:13:36
FL6728-710,United Airlines,521,Airbus A320,LAX,ATL,2024-05-08 23:24:35,2024-05-08 23:38:35,2024-05-09 01:24:35,2024-05-09 00:41:35,C3,3,2024-01-27 06:09:12
FL5555-784,United Airlines,504,Airbus A380,ORD,ATL,2024-04-02 13:37:58,2024-04-02 13:25:58,2024-04-02 15:37:58,2024-04-02 15:13:58,C12,4,2024-06-26 00:49:02
FL9443-434,Delta Air Lines,712,Airbus A320,ATL,JFK,2024-07-08 23:00:57,2024-07-08 22:56:57,2024-07-09 01:00:57,2024-07-09 01:32:57,A3,4,2024-02-07 11:46:36
FL3584-216,Southwest Airlines,507,Boeing 777,ATL,ATL,2024-02-05 16:30:32,2024-02-05 17:04:32,2024-02-05 18:30:32,2024-02-05 17:50:32,A14,3,2024-05-31 11:27:43
FL3183-106,Southwest Airlines,202,Boeing 737,ATL,LAX,2024-04-13 17:15:21,2024-04-13 16:59:21,2024-04-13 19:15:21,2024-04-13 19:58:21,B13,1,2024-04-07 17:19:48
FL5871-425,Southwest Airlines,721,Boeing 777,ORD,JFK,2024-03-10 04:23:09,2024-03-10 04:47:09,2024-03-10 06:23:09,2024-03-10 06:11:09,A7,2,2024-03-03 07:11:14
FL8231-399,Southwest Airlines,128,Airbus A380,LAX,LAX,2024-02-12 10:02:08,2024-02-12 10:06:08,2024-02-12 12:02:08,2024-02-12 11:55:08,B4,4,2024-05-17 18:16:39
FL2483-746,Delta Air Lines,489,Airbus A320,ORD,SFO,2024-06-30 09:57:22,2024-06-30 09:45:22,2024-06-30 11:57:22,2024-06-30 11:30:22,B10,1,2024-07-03 13:31:44
FL7612-511,JetBlue Airways,555,Airbus A380,ORD,SFO,2024-03-04 12:42:24,2024-03-04 12:33:24,2024-03-04 14:42:24,2024-03-04 14:57:24,A1,4,2024-01-29 08:56:59
FL6188-560,JetBlue Airways,303,Airbus A320,LAX,ORD,2024-03-02 11:36:45,2024-03-02 10:57:45,2024-03-02 13:36:45,2024-03-02 13:30:45,B9,3,2024-04-14 05:05:11
FL8831-434,United Airlines,222,Boeing 777,SFO,SFO,2024-06-01 10:58:55,2024-06-01 10:53:55,2024-06-01 12:58:55,2024-06-01 13:17:55,B10,2,2024-06-27 04:20:42
FL7488-325,United Airlines,219,Boeing 737,LAX,ATL,2024-01-17 11:00:32,2024-01-17 11:37:32,2024-01-17 13:00:32,2024-01-17 13:42:32,A4,4,2024-03-17 16:15:58
FL3925-404,JetBlue Airways,479,Airbus A380,SFO,SFO,2024-02-03 01:28:52,2024-02-03 01:38:52,2024-02-03 03:28:52,2024-02-03 04:12:52,B12,3,2024-02-02 17:31:00
FL2903-291,JetBlue Airways,974,Boeing 737,JFK,ORD,2024-01-03 01:49:50,2024-01-03 01:32:50,2024-01-03 03:49:50,2024-01-03 03:30:50,A8,3,2024-01-11 21:01:07
FL1930-616,Delta Air Lines,772,Airbus A320,LAX,LAX,2024-06-27 16:06:13,2024-06-27 16:00:13,2024-06-27 18:06:13,2024-06-27 17:48:13,C3,2,2024-04-16 08:53:54
FL8762-575,United Airlines,629,Boeing 777,ATL,SFO,2024-06-17 03:15:31,2024-06-17 03:54:31,2024-06-17 05:15:31,2024-06-17 05:58:31,C10,4,2024-06-29 02:12:25
FL2218-231,American Airlines,520,Airbus A320,LAX,LAX,2024-03-21 20:17:02,2024-03-21 20:13:02,2024-03-21 22:17:02,2024-03-21 22:09:02,B8,4,2024-07-04 09:46:41
FL4640-924,American Airlines,253,Airbus A380,ORD,ORD,2024-04-30 14:44:10,2024-04-30 15:06:10,2024-04-30 16:44:10,2024-04-30 17:22:10,A8,1,2024-01-06 05:53:57
FL4226-814,JetBlue Airways,987,Airbus A320,JFK,ATL,2024-07-09 06:11:04,2024-07-09 05:27:04,2024-07-09 08:11:04,2024-07-09 08:05:04,A5,4,2024-03-10 19:56:31
FL2424-266,American Airlines,720,Boeing 777,LAX,LAX,2024-06-04 15:12:46,2024-06-04 15:36:46,2024-06-04 17:12:46,2024-06-04 16:28:46,B5,1,2024-03-19 18:23:31
FL1950-150,JetBlue Airways,334,Boeing 777,ATL,LAX,2024-06-12 14:10:39,2024-06-12 14:00:39,2024-06-12 16:10:39,2024-06-12 15:53:39,B10,1,2024-02-16 19:56:12
FL9789-477,American Airlines,285,Boeing 777,LAX,ATL,2024-04-14 17:54:18,2024-04-14 17:30:18,2024-04-14 19:54:18,2024-04-14 19:19:18,C2,3,2024-05-18 20:26:53
FL6362-665,United Airlines,252,Airbus A320,LAX,LAX,2024-06-05 20:12:44,2024-06-05 20:15:44,2024-06-05 22:12:44,2024-06-05 21:59:44,C3,1,2024-06-03 02:57:08
FL7983-189,Southwest Airlines,216,Airbus A320,JFK,ORD,2024-05-09 11:18:12,2024-05-09 10:34:12,2024-05-09 13:18:12,2024-05-09 13:49:12,C4,4,2024-06-21 21:57:25
FL5553-518,Southwest Airlines,904,Boeing 737,JFK,JFK,2024-03-11 14:30:58,2024-03-11 14:33:58,2024-03-11 16:30:58,2024-03-11 17:07:58,B14,2,2024-05-08 04:31:41
FL3957-176,Delta Air Lines,360,Boeing 737,JFK,JFK,2024-01-18 16:59:00,2024-01-18 16:45:00,2024-01-18 18:59:00,2024-01-18 19:29:00,A1,1,2024-05-16 13:50:30
FL5763-248,Delta Air Lines,411,Boeing 737,LAX,JFK,2024-03-23 09:01:18,2024-03-23 09:45:18,2024-03-23 11:01:18,2024-03-23 11:41:18,C13,1,2024-06-25 09:32:24
FL6507-332,JetBlue Airways,888,Airbus A320,ORD,JFK,2024-01-12 21:35:40,2024-01-12 22:00:40,2024-01-12 23:35:40,2024-01-12 23:44:40,B15,4,2024-03-31 18:41:13
FL2013-673,JetBlue Airways,273,Boeing 737,ATL,JFK,2024-05-14 02:19:01,2024-05-14 02:08:01,2024-05-14 04:19:01,2024-05-14 04:11:01,A14,3,2024-04-29 08:49:30
