flight_id,passenger_count,seat_occupancy,customer_satisfaction,catering_score,entertainment_score,cabin_crew_score
FL6377-285,214,0.9,3,4,5,3
FL9042-972,183,1.0,3,4,3,4
FL6738-544,213,0.98,3,3,4,4
FL9073-372,213,0.93,3,3,5,5
FL4524-306,231,1.0,5,3,4,5
FL9201-124,298,0.98,5,4,4,3
FL3352-350,254,0.96,3,3,3,5
FL1315-926,296,0.97,3,5,3,5
FL8009-754,250,0.94,3,4,5,3
FL4687-420,254,0.91,5,5,3,3
FL3189-322,195,1.0,3,3,4,3
FL4389-246,209,1.0,3,3,5,3
FL6578-291,264,0.99,3,5,5,5
FL7692-248,231,0.92,3,4,3,3
FL8022-731,209,0.95,5,4,4,4
FL8733-730,264,0.93,5,4,5,4
FL7931-902,223,0.92,3,3,3,5
FL4963-642,243,1.0,3,5,3,3
FL9648-916,261,0.96,5,4,3,3
FL5675-263,220,0.99,4,4,5,3
FL7204-845,243,0.99,3,5,4,3
FL6313-902,214,0.94,4,4,5,4
FL1897-512,294,0.9,3,3,4,5
FL6752-964,296,0.93,5,5,3,3
FL8963-932,229,0.99,4,5,5,3
FL3613-598,275,0.99,4,3,4,4
FL4273-516,222,0.94,4,3,3,4
FL6291-762,156,0.94,5,4,4,5
FL6055-373,234,0.96,4,5,3,5
FL2811-669,247,0.94,5,4,5,3
FL4013-380,223,0.96,5,3,5,5
FL3107-157,167,0.94,4,4,3,5
FL4345-419,239,0.92,4,5,4,5
FL5052-655,220,0.91,3,5,5,4
FL2524-547,220,1.0,3,3,5,3
FL2550-958,195,0.95,4,5,5,5
FL7488-416,296,0.9,3,5,4,4
FL4815-220,233,0.92,3,5,3,5
FL1398-415,274,0.92,3,4,5,3
FL6990-139,222,0.96,5,4,3,4
FL8036-304,208,0.98,5,4,5,4
FL5540-586,164,1.0,3,4,3,3
FL3602-772,233,0.93,3,4,3,5
FL5675-312,229,0.98,4,5,4,4
FL7286-139,288,0.96,4,5,3,4
FL3532-319,161,1.0,5,3,3,3
FL6223-208,287,0.91,5,5,3,4
FL2160-704,223,0.97,3,3,4,5
FL4854-538,285,0.9,5,4,3,4
FL6985-406,264,1.0,4,3,4,5
FL7292-885,170,0.98,5,5,3,5
FL8561-832,170,0.98,4,3,4,5
FL4340-468,164,0.98,3,4,4,4
FL5888-249,233,0.96,4,3,3,3
FL4570-847,251,0.94,3,3,3,4
FL7535-405,150,0.98,5,4,5,3
FL8797-217,188,0.95,3,3,4,5
FL9927-806,292,0.98,3,4,3,4
FL3931-568,195,1.0,3,3,4,3
FL3510-623,183,0.96,5,4,5,3
FL8878-156,166,0.9,3,3,5,4
FL4661-180,274,1.0,4,5,5,5
FL4733-306,269,1.0,5,4,4,3
FL2225-464,287,0.9,4,4,3,5
FL1130-188,252,0.91,4,3,3,4
FL2968-986,250,0.98,4,5,4,5
FL6861-668,254,0.91,3,5,5,5
FL2705-264,228,0.93,4,3,5,3
FL2654-266,168,0.96,4,5,3,5
FL3058-423,219,0.96,4,3,5,4
FL8871-838,204,0.95,3,5,4,3
FL6481-232,293,0.98,3,3,3,4
FL6517-287,262,0.97,5,4,5,3
FL3688-392,195,0.95,4,4,4,4
FL7995-639,242,0.99,4,3,4,4
FL8345-104,250,0.94,4,3,3,4
FL5251-637,204,0.92,3,5,4,5
FL1019-374,241,0.95,5,3,4,5
FL9801-352,237,0.94,4,3,5,5
FL7704-187,262,0.98,4,4,3,5
FL3458-731,289,0.9,3,5,4,3
FL8870-213,161,0.91,5,5,4,5
FL4177-212,254,0.93,4,5,3,5
FL5033-113,251,0.93,3,3,4,5
FL5572-837,245,0.9,4,5,4,4
FL9999-322,282,0.92,5,3,3,5
FL7309-403,253,0.96,4,3,5,5
FL4213-442,275,1.0,3,5,5,3
FL9558-124,201,0.95,5,5,3,5
FL6828-106,233,0.92,4,4,4,5
FL6361-837,185,0.9,5,3,4,5
FL3227-705,276,0.91,4,3,3,5
FL2394-292,265,0.98,4,3,3,5
FL5330-724,207,0.97,4,4,4,4
FL7415-811,292,0.93,3,4,5,5
FL2865-666,248,0.96,5,4,5,4
FL9136-994,229,0.93,3,4,4,3
FL3134-972,242,0.97,3,4,5,4
FL4134-389,270,0.96,5,5,3,4
FL9077-133,204,0.94,4,5,3,4
FL1786-408,204,0.95,3,3,5,5
FL2741-390,294,0.91,4,3,3,5
FL6557-616,264,0.9,4,5,5,3
FL7716-926,168,1.0,3,5,5,3
FL5085-539,249,0.99,5,4,3,5
FL5103-985,164,0.94,3,5,5,5
FL9182-790,253,0.91,3,3,3,3
FL3911-899,289,0.94,4,5,3,4
FL6390-308,221,1.0,5,3,3,3
FL9508-482,170,0.91,5,5,4,4
FL4493-324,185,0.92,4,5,3,5
FL4639-650,211,0.91,5,3,3,4
FL6372-454,294,0.99,3,5,4,3
FL4455-378,190,0.92,3,4,3,3
FL4370-459,179,0.98,4,3,3,4
FL5350-223,157,0.92,5,3,4,4
FL6673-484,186,0.9,3,5,4,3
FL2280-209,270,0.99,5,4,3,5
FL3772-859,213,0.9,4,5,4,4
FL1875-507,191,0.95,4,3,5,3
FL2915-873,202,0.97,4,3,4,3
FL4721-885,293,0.96,3,3,3,4
FL4251-907,154,0.97,4,5,3,4
FL7236-348,298,0.98,3,4,4,5
FL1667-980,234,0.91,4,5,4,3
FL1205-383,288,0.94,5,4,5,5
FL5064-290,217,0.98,5,4,5,4
FL9320-145,194,0.91,5,3,4,4
FL1060-791,166,0.9,3,4,5,3
FL4695-288,294,0.94,3,3,4,3
FL9734-732,233,0.99,5,5,4,3
FL8187-231,228,0.99,3,3,4,3
FL8900-201,203,1.0,3,3,5,5
FL1398-657,265,1.0,5,5,5,5
FL9400-416,242,0.92,3,4,4,5
FL9933-851,165,0.91,4,3,5,4
FL1506-635,221,0.94,5,5,5,5
FL6263-218,224,0.92,3,4,3,5
FL5034-211,169,0.97,5,4,5,3
FL5211-654,259,0.9,5,3,4,3
FL1760-417,193,0.96,3,4,4,3
FL9330-661,219,1.0,5,3,5,3
FL7683-620,257,0.93,4,5,4,3
FL3870-602,255,1.0,4,5,5,4
FL7154-364,289,0.93,5,3,5,5
FL9277-858,263,0.92,4,3,4,4
FL7007-526,166,0.93,3,4,4,5
FL1967-247,252,0.92,3,4,3,4
FL8007-746,171,0.97,5,4,5,5
FL2707-783,229,0.91,3,3,5,4
FL6759-512,248,0.92,3,4,3,3
FL1988-945,154,0.91,3,5,5,4
FL3622-101,188,0.91,5,4,3,4
FL7315-775,179,0.95,4,4,5,4
FL9121-299,246,1.0,4,4,5,4
FL5327-978,216,1.0,4,3,3,4
FL4245-209,201,0.91,4,3,3,5
FL1789-499,292,0.99,3,4,4,3
FL2182-206,215,0.94,4,5,5,3
FL2096-624,239,0.93,3,5,4,5
FL9194-800,299,0.96,4,4,5,4
FL2810-524,270,0.94,4,3,3,4
FL2653-373,167,0.98,5,5,5,5
FL8041-956,250,1.0,3,5,4,3
FL2866-839,273,1.0,3,4,4,3
FL6761-319,273,0.93,4,4,5,5
FL7153-301,181,0.94,5,3,3,5
FL2887-720,175,0.92,3,3,5,4
FL1479-254,192,0.9,5,4,5,4
FL3995-752,202,0.95,5,4,3,3
FL8518-336,244,0.94,5,3,3,3
FL7841-893,286,0.96,3,5,4,3
FL5515-108,245,1.0,4,3,3,3
FL7611-781,272,0.96,5,3,5,5
FL8157-432,270,0.97,3,4,4,5
FL6898-102,283,1.0,3,3,4,4
FL4194-901,185,0.9,5,5,4,5
FL7776-533,260,0.94,3,4,3,3
FL1202-348,186,0.91,4,5,4,4
FL1813-428,195,0.97,4,3,5,3
FL7493-181,206,0.94,5,4,4,4
FL3170-618,231,0.99,4,3,4,5
FL5089-207,281,0.98,5,5,5,4
FL8432-226,173,0.94,4,5,3,4
FL3866-740,219,0.95,3,3,3,5
FL9100-668,182,0.99,4,4,3,5
FL7520-711,293,0.9,5,4,4,5
FL1606-159,192,0.97,3,3,4,3
FL3568-630,247,0.98,5,4,5,4
FL4019-646,157,1.0,5,3,4,5
FL6877-107,210,0.91,3,5,4,3
FL7884-258,279,0.91,4,3,4,4
FL1246-708,160,0.95,5,3,5,3
FL9300-836,193,0.97,4,3,5,5
FL5706-386,277,0.91,4,3,4,4
FL1085-234,240,0.99,5,3,4,3
FL4385-279,269,0.92,3,4,4,4
FL3623-454,251,0.94,5,3,5,3
FL2527-966,165,0.94,3,4,4,5
FL3559-440,247,0.9,5,5,4,5
FL3456-687,291,1.0,4,3,4,5
FL8607-970,216,0.96,3,3,5,3
FL8950-552,258,0.96,4,3,3,5
FL9649-226,183,0.96,3,3,5,5
FL1434-457,194,0.99,4,4,3,3
FL7239-889,255,0.98,3,5,3,3
FL1027-406,264,0.9,4,4,5,3
FL8313-520,209,0.91,5,3,4,4
FL8664-356,216,0.9,5,5,4,5
FL7260-906,280,0.98,4,5,3,3
FL4032-434,272,0.9,3,3,5,5
FL9089-689,246,0.93,5,4,4,3
FL3213-641,150,0.97,4,4,3,3
FL5260-539,158,0.94,4,5,4,3
FL4339-584,246,0.95,5,4,4,3
FL6496-560,195,0.9,4,3,5,3
FL7559-140,238,1.0,5,5,3,5
FL8613-680,162,0.99,3,5,5,5
FL5797-116,232,0.92,4,5,5,5
FL1562-435,181,0.91,3,4,3,5
FL6147-915,177,0.98,5,4,3,3
FL4243-812,257,0.9,5,3,4,4
FL6659-672,162,0.9,3,3,4,3
FL3539-512,251,0.97,5,4,5,4
FL8503-732,264,0.94,3,3,4,3
FL4051-600,194,0.93,3,5,5,3
FL3304-152,213,1.0,3,4,3,3
FL5946-627,206,0.96,3,4,3,4
FL8896-990,221,0.99,3,4,5,3
FL1429-441,210,0.94,4,4,5,4
FL1100-743,260,0.95,5,4,5,5
FL5593-149,212,0.92,4,3,4,4
FL2073-979,230,0.91,4,4,4,5
FL9400-309,281,0.94,4,5,4,5
FL4040-695,224,0.9,3,4,4,4
FL1178-640,162,0.9,3,3,4,3
FL2546-784,244,1.0,5,4,5,3
FL6518-371,271,0.96,5,3,4,3
FL2288-326,168,0.92,5,5,3,3
FL3464-467,196,0.95,4,3,5,3
FL9124-993,225,0.9,5,5,4,4
FL1649-310,231,0.93,5,5,3,3
FL8487-319,155,0.97,5,3,5,5
FL9828-868,167,0.99,4,3,5,5
FL6579-197,271,0.94,5,4,5,3
FL5312-851,151,0.92,4,4,4,4
FL7950-323,186,0.9,5,3,4,5
FL6609-291,204,0.93,4,3,4,4
FL8627-121,279,0.93,3,5,3,3
FL2163-132,180,0.98,5,5,3,3
FL2286-914,258,0.98,3,5,3,4
FL7058-512,300,0.9,5,3,3,4
FL2096-602,268,0.99,4,4,5,3
FL6772-622,183,0.97,5,3,4,5
FL6670-486,164,0.91,3,5,4,5
FL3094-825,197,0.91,3,4,5,3
FL7751-578,222,0.98,4,5,3,4
FL2371-571,286,0.93,5,5,3,4
FL8102-273,183,0.9,3,3,4,5
FL7721-920,290,0.98,4,3,3,5
FL2519-930,285,0.96,3,3,3,5
FL4040-893,252,1.0,5,5,3,4
FL2299-378,226,0.9,4,4,5,5
FL9814-926,227,0.92,5,5,3,5
FL7175-743,150,0.98,3,5,4,4
FL3268-580,195,0.93,5,5,3,4
FL6878-888,182,0.9,5,3,4,3
FL5948-102,202,0.9,3,5,4,3
FL1569-862,218,0.98,5,3,4,3
FL6407-959,250,0.9,5,4,4,5
FL6539-730,159,0.93,4,3,5,5
FL5708-934,180,0.93,4,4,5,3
FL3175-841,181,0.96,4,4,4,4
FL6091-457,211,0.9,5,4,5,5
FL1467-989,255,0.92,3,4,5,3
FL2020-323,174,0.9,4,4,3,4
FL6799-437,192,0.91,4,4,5,5
FL3716-643,251,0.97,5,5,4,4
FL5493-790,224,0.99,4,3,5,4
FL8728-810,251,0.93,3,3,3,5
FL2495-845,162,0.91,5,3,3,4
FL6399-577,159,0.95,5,3,3,5
FL2856-263,297,0.91,5,3,3,4
FL5897-984,272,0.95,3,5,5,3
FL5467-914,284,0.96,5,3,5,4
FL9924-977,223,0.94,4,4,3,3
FL5866-503,246,0.99,4,4,3,4
FL3594-589,164,0.98,3,4,4,3
FL6090-963,271,0.95,3,3,3,5
FL9914-521,264,0.99,3,3,5,3
FL3357-122,173,1.0,5,5,4,3
FL1208-137,200,1.0,4,3,3,4
FL8355-478,235,0.95,3,5,5,4
FL4980-274,186,0.96,3,4,5,3
FL3409-410,256,0.93,3,5,4,5
FL8084-733,264,0.92,5,4,4,5
FL2885-188,287,0.99,3,5,5,4
FL2080-645,261,0.92,3,4,5,3
FL9951-685,163,0.91,3,4,4,5
FL9942-803,262,0.94,4,3,5,5
FL4242-144,190,0.99,3,4,3,3
FL1665-226,215,1.0,4,4,5,4
FL8356-899,151,0.92,3,5,4,4
FL6411-198,297,0.91,5,4,5,5
FL2839-675,178,0.97,3,5,5,5
FL9461-488,161,0.91,5,5,5,5
FL6958-370,156,0.96,3,5,5,3
FL1548-230,171,0.98,3,3,5,4
FL1340-579,187,0.98,4,3,4,3
FL9513-554,241,1.0,4,5,5,4
FL6031-663,222,0.99,3,3,3,4
FL3180-854,239,0.92,4,3,4,3
FL2348-346,268,0.93,5,4,5,3
FL5720-451,259,0.95,5,5,3,4
FL3951-683,243,0.94,3,4,5,4
FL8581-756,186,0.94,5,3,4,4
FL7922-946,217,1.0,5,4,4,3
FL5086-526,156,0.96,5,5,3,4
FL8793-891,265,0.9,3,5,5,3
FL2726-466,186,1.0,3,4,3,4
FL3764-650,292,0.91,4,3,5,4
FL9243-264,210,0.99,3,5,5,3
FL6465-340,177,0.94,3,5,4,5
FL7737-258,154,0.96,4,5,4,5
FL9926-478,289,0.99,5,5,3,5
FL4656-500,178,0.98,5,5,4,3
FL6494-755,275,0.93,3,5,4,3
FL3958-643,291,0.9,5,4,3,5
FL9545-906,194,0.9,3,5,3,4
FL7353-150,183,0.98,5,5,3,4
FL6528-975,265,0.92,4,5,3,3
FL3221-616,224,0.93,4,4,3,3
FL9155-459,225,0.9,4,4,4,4
FL9388-589,298,0.95,5,4,4,4
FL7530-775,288,0.94,4,5,4,5
FL7255-896,194,0.98,3,4,3,3
FL2852-787,179,0.9,3,4,4,5
FL1586-832,273,0.91,3,3,5,4
FL2090-147,260,0.96,5,5,4,5
FL2510-485,272,0.95,5,4,3,4
FL2668-706,249,0.97,5,5,3,3
FL8407-105,229,0.91,3,3,5,3
FL7264-812,178,0.9,5,4,4,5
FL4010-246,242,0.9,5,5,5,3
FL4204-498,153,1.0,5,3,4,4
FL2900-963,262,0.91,5,4,3,4
FL5644-883,213,0.99,4,4,4,5
FL1041-569,184,0.92,4,4,4,3
FL8482-300,197,1.0,5,5,4,3
FL7799-601,176,0.94,4,4,4,4
FL6050-731,293,0.98,4,4,5,3
FL2851-933,299,0.92,5,4,3,5
FL8704-499,155,0.98,3,4,5,5
FL1668-464,159,0.92,4,4,4,3
FL9769-898,280,0.96,5,3,5,5
FL7224-419,204,0.91,5,4,5,5
FL9231-747,199,0.98,4,5,3,5
FL8266-560,218,0.96,5,5,4,3
FL1320-938,250,0.98,3,3,3,5
FL9642-837,154,0.97,3,4,3,3
FL7930-431,233,0.98,4,5,4,5
FL9344-516,225,1.0,4,5,5,4
FL2618-999,297,0.91,4,3,4,3
FL3897-174,187,0.92,5,5,4,3
FL5389-554,187,0.94,5,4,3,5
FL3788-952,255,0.95,3,5,4,3
FL9914-220,208,0.98,5,4,5,4
FL5030-686,267,0.94,5,3,4,3
FL8252-526,155,0.94,4,3,4,3
FL3815-682,162,0.96,5,4,4,4
FL8427-391,216,0.91,5,3,3,5
FL4731-478,235,0.91,4,5,3,5
FL5259-220,278,0.97,4,3,3,3
FL2384-887,155,0.97,5,3,4,5
FL3208-827,182,0.96,3,4,4,4
FL5912-818,241,0.95,3,5,3,5
FL7484-922,184,0.98,5,3,3,3
FL4566-200,220,0.96,3,5,4,5
FL4596-584,242,0.91,4,5,3,4
FL4367-167,267,1.0,3,3,3,4
FL5577-519,170,0.98,3,5,4,5
FL3640-582,194,0.96,5,5,3,4
FL9486-951,200,0.95,4,3,3,3
FL4363-465,183,0.96,5,5,4,5
FL7038-660,154,0.93,3,4,4,5
FL1042-667,242,0.91,5,3,5,4
FL4351-968,285,0.92,5,5,5,4
FL4522-659,163,0.93,4,3,5,3
FL9085-255,211,0.99,5,3,3,4
FL4924-128,266,0.99,4,5,4,4
FL2438-676,196,0.93,3,5,4,5
FL8292-943,235,0.92,3,3,3,3
FL3687-516,184,1.0,3,5,5,4
FL3224-155,156,0.98,3,4,3,5
FL2478-997,256,0.93,5,5,4,3
FL6235-851,288,1.0,5,5,3,5
FL9366-337,277,0.99,4,5,3,5
FL5747-346,258,0.95,4,4,3,3
FL8578-630,297,0.96,4,4,4,4
FL2410-945,161,1.0,3,5,5,4
FL7688-376,208,0.99,4,3,3,5
FL1674-688,202,0.97,4,5,3,4
FL7428-248,155,0.96,5,3,4,4
FL3612-378,214,1.0,4,3,5,3
FL3513-911,224,0.97,5,3,4,4
FL3309-884,281,0.93,4,3,4,5
FL8277-918,300,0.94,3,4,3,4
FL3757-881,241,0.91,5,3,3,5
FL4980-766,294,0.94,4,4,3,3
FL7799-158,175,0.9,5,4,3,3
FL6214-961,288,0.94,3,4,3,5
FL6221-744,208,0.91,3,4,4,3
FL3726-439,248,0.98,4,4,4,4
FL5601-972,245,0.91,3,4,4,4
FL5573-479,186,0.95,3,4,3,3
FL9539-814,156,1.0,5,3,3,4
FL7063-775,298,0.92,4,4,3,4
FL7440-290,185,0.97,4,3,5,5
FL4312-797,274,0.97,5,3,5,5
FL3907-815,252,1.0,3,5,5,3
FL1498-651,278,0.93,5,3,4,5
FL7080-978,234,0.98,5,3,5,4
FL9021-282,300,0.97,4,3,3,4
FL5744-978,229,0.9,3,4,4,5
FL9676-965,266,0.98,4,4,3,4
FL4842-105,251,0.93,5,5,3,5
FL9564-873,157,0.96,3,4,4,5
FL5134-242,203,0.96,5,4,4,5
FL9130-656,234,0.96,3,5,4,4
FL3168-225,255,0.91,5,3,5,4
FL5839-134,222,0.91,4,5,3,5
FL1881-358,276,0.97,4,3,4,3
FL1827-766,276,0.93,5,4,3,4
FL2200-853,184,0.91,4,4,4,5
FL9262-107,215,0.93,5,5,5,3
FL9759-388,191,0.98,4,4,5,5
FL9774-378,153,0.92,5,4,4,4
FL9106-510,205,0.9,5,3,5,4
FL7813-339,300,0.97,4,3,5,4
FL8709-860,184,1.0,3,4,3,5
FL9641-498,293,0.91,4,4,5,4
FL5265-961,238,0.97,3,5,5,3
FL9246-264,214,0.99,4,3,5,4
FL5869-532,208,0.96,5,3,4,4
FL4907-243,299,0.96,3,5,4,5
FL8459-471,172,1.0,3,3,5,3
FL8791-543,178,1.0,5,3,5,4
FL7091-242,273,0.94,4,3,4,5
FL9697-713,218,1.0,4,4,5,3
FL8394-142,235,0.99,3,5,3,3
FL5677-151,156,0.97,3,3,3,3
FL1737-305,192,0.93,5,5,5,5
FL2537-227,237,0.9,3,3,5,3
FL6405-779,211,0.99,5,3,5,5
FL4897-442,265,1.0,3,3,5,3
FL4625-526,213,0.93,3,4,5,3
FL7252-300,264,1.0,3,5,3,5
FL1461-109,214,0.97,3,5,4,3
FL7298-859,153,0.9,5,5,4,5
FL5441-335,160,0.9,3,3,4,5
FL4267-936,234,0.98,4,4,5,4
FL2007-313,277,0.94,4,3,4,5
FL2402-208,184,0.92,4,3,4,5
FL9170-117,244,0.99,3,3,4,4
FL7298-174,199,0.98,5,5,4,4
FL9054-735,246,0.9,4,3,5,3
FL3477-444,258,0.98,4,5,4,3
FL4007-792,263,0.9,3,4,4,3
FL4549-428,265,0.9,4,5,4,5
FL1105-389,182,0.97,5,4,5,5
FL5837-590,211,0.95,5,5,3,4
FL8106-510,204,0.94,5,3,5,3
FL7752-300,204,0.92,5,4,5,4
FL7273-102,201,0.96,5,3,5,3
FL8831-130,166,0.95,4,3,5,3
FL4638-465,184,0.9,3,3,4,3
FL2076-659,251,1.0,4,3,4,3
FL5505-650,242,0.96,5,4,4,4
FL6830-763,153,0.93,4,5,4,5
FL9632-827,163,0.94,3,3,3,5
FL5203-290,278,0.96,3,3,5,3
FL4552-533,153,0.91,3,5,3,3
FL3561-211,218,0.94,4,3,3,4
FL6687-924,195,0.93,4,3,4,4
FL9016-972,188,1.0,4,3,3,4
FL5869-747,238,0.96,4,4,5,3
FL5430-480,188,0.99,3,3,5,4
FL8885-701,289,0.95,4,3,3,3
FL2444-795,184,0.91,4,5,3,4
FL4638-860,232,0.91,4,3,3,5
FL8302-547,267,0.98,4,4,5,4
FL7735-766,167,0.95,3,4,3,5
FL4679-185,182,0.95,3,4,5,4
FL7493-254,249,0.9,3,3,4,4
FL4678-732,249,0.99,4,5,4,3
FL4821-780,214,1.0,4,4,3,4
FL1782-933,252,1.0,3,3,3,4
FL9242-958,197,0.96,4,3,5,4
FL9032-950,260,0.91,5,5,3,3
FL7195-764,259,0.92,5,3,4,4
FL5024-281,233,0.9,4,5,4,5
FL9437-120,285,0.95,5,3,5,3
FL8783-923,243,1.0,5,5,5,4
FL8686-714,249,0.95,5,5,5,5
FL2637-895,289,0.9,4,4,3,5
FL7867-220,189,0.97,4,5,5,3
FL1594-911,160,0.96,5,4,5,3
FL6140-637,154,0.93,4,5,5,3
FL4606-299,199,0.97,3,4,5,5
FL8107-205,252,0.99,4,4,3,3
FL8328-183,275,0.93,4,5,5,4
FL9472-156,177,0.97,5,3,3,5
FL4885-645,194,0.95,5,3,5,5
FL3996-389,182,0.94,4,5,3,4
FL9256-375,285,0.95,3,3,5,3
FL5878-988,254,1.0,5,3,5,5
FL9664-248,276,0.91,4,4,5,3
FL7678-621,291,0.99,3,4,5,5
FL1563-585,233,0.93,4,4,4,5
FL6672-127,275,0.95,4,3,5,4
FL6738-417,205,0.92,4,5,3,4
FL8056-956,165,0.97,3,4,5,3
FL3210-622,161,0.9,3,3,4,3
FL6778-389,171,0.99,4,5,4,4
FL8266-137,227,0.91,4,5,3,4
FL1739-388,212,0.9,4,4,4,4
FL2545-565,161,1.0,4,4,3,3
FL1201-619,161,0.97,4,4,3,5
FL7067-914,164,0.91,5,4,5,3
FL4243-521,284,0.98,3,3,4,5
FL4834-643,195,0.9,5,3,3,4
FL9877-169,156,0.91,4,3,5,5
FL3006-359,218,0.9,4,4,4,3
FL6897-540,208,0.95,5,5,4,4
FL9343-267,214,0.98,3,5,4,4
FL4279-295,256,0.9,4,3,5,4
FL4511-345,282,0.92,4,3,3,4
FL9125-373,239,0.96,4,3,3,4
FL4448-366,172,0.98,5,4,4,4
FL6969-522,214,0.99,3,4,4,5
FL9529-710,285,0.92,5,5,4,5
FL9767-952,209,0.91,3,5,3,5
FL8495-636,248,0.95,4,3,4,4
FL9146-328,198,0.98,5,5,3,3
FL9701-854,150,0.91,3,4,5,5
FL5783-378,272,0.95,5,5,4,4
FL7205-902,259,0.91,3,5,5,4
FL7937-954,262,0.94,3,3,3,4
FL9264-622,205,0.9,4,5,4,5
FL8372-499,258,0.9,4,5,5,3
FL8289-240,273,0.97,4,3,5,4
FL3447-663,260,0.93,4,4,3,5
FL4518-159,251,0.91,5,5,3,3
FL9854-400,175,0.98,3,5,4,4
FL9944-437,203,0.97,3,5,3,3
FL9704-942,231,0.97,4,3,4,4
FL1538-795,153,0.99,3,3,5,3
FL9574-569,206,0.92,4,4,4,5
FL5272-746,201,0.97,4,4,5,3
FL5883-163,287,0.94,3,4,4,3
FL4504-345,223,0.97,3,5,4,5
FL9431-795,274,0.94,4,5,3,4
FL6793-744,276,0.91,3,4,3,5
FL7908-775,241,0.96,3,3,3,4
FL3899-374,208,0.98,5,4,5,5
FL1674-416,169,0.98,4,5,3,4
FL6804-234,174,0.92,4,4,5,5
FL8602-157,220,0.95,3,3,4,3
FL3598-606,277,0.91,4,5,4,4
FL6868-868,260,0.9,5,5,4,3
FL6106-879,289,1.0,5,5,5,5
FL1246-479,228,0.9,3,5,3,5
FL2757-866,155,0.98,5,3,5,5
FL4997-335,163,0.94,5,3,4,5
FL5301-907,187,1.0,3,5,3,5
FL9973-935,169,0.97,5,3,5,5
FL4292-367,192,0.96,3,5,3,3
FL9045-593,202,1.0,5,3,4,4
FL4110-660,185,0.94,3,4,4,4
FL6817-631,290,0.9,3,3,3,3
FL1346-834,208,0.9,5,3,4,5
FL7706-375,216,0.95,5,5,3,5
FL4925-897,266,0.93,5,4,5,3
FL4144-958,154,0.92,5,4,4,3
FL3764-939,249,0.93,4,5,5,3
FL6865-324,213,0.95,5,5,4,3
FL4317-914,192,0.98,4,3,3,5
FL7099-102,187,0.95,5,4,3,4
FL4903-867,193,0.91,4,4,3,3
FL4106-641,252,0.99,3,3,4,4
FL6908-519,272,0.94,5,4,3,3
FL8781-463,176,0.9,4,3,3,4
FL3390-395,172,0.93,4,3,5,5
FL5753-500,263,0.97,3,3,4,3
FL1907-695,240,0.91,3,3,4,3
FL5593-109,299,1.0,3,4,5,3
FL3680-138,276,0.94,3,4,5,4
FL9348-296,287,0.91,3,5,4,3
FL9493-581,293,0.94,3,5,4,3
FL8587-895,288,0.92,4,4,5,5
FL2303-281,257,0.94,3,4,4,5
FL7032-930,205,0.92,3,3,5,3
FL7035-185,299,0.97,3,5,3,5
FL2377-845,224,0.97,5,4,3,4
FL1494-950,199,0.9,3,3,3,4
FL5121-271,270,0.96,4,4,5,3
FL6677-437,198,0.92,3,4,3,3
FL1371-193,272,0.93,3,5,5,3
FL9180-939,289,0.91,3,4,4,3
FL5043-353,298,0.98,4,5,3,5
FL3685-374,185,1.0,5,5,4,4
FL4736-188,167,0.99,5,5,3,5
FL7379-182,278,0.98,3,3,4,3
FL6531-364,168,0.92,4,3,4,3
FL6140-647,266,1.0,3,4,5,5
FL1426-668,180,0.92,4,3,4,3
FL3038-639,153,0.97,3,4,3,3
FL7621-642,265,0.91,3,4,3,5
FL3303-454,288,0.99,5,3,3,4
FL6468-959,184,0.92,5,5,4,4
FL7375-453,180,0.98,3,4,5,5
FL4152-361,158,0.93,5,5,4,3
FL2928-472,159,0.98,4,4,4,3
FL1101-362,202,0.97,3,3,3,4
FL1768-542,188,0.94,5,5,3,3
FL2498-363,207,0.93,4,3,4,3
FL7184-861,200,0.91,5,5,3,4
FL7365-329,199,0.97,4,5,3,4
FL2523-276,289,0.94,4,3,3,5
FL6198-283,299,0.9,5,3,3,4
FL2679-257,213,0.95,5,4,5,4
FL8952-479,233,0.91,4,5,4,3
FL9387-767,203,0.9,5,3,5,4
FL8970-960,161,0.91,4,3,5,4
FL2930-242,190,0.96,4,4,4,5
FL4692-695,293,0.97,4,4,4,4
FL7798-449,196,0.91,3,3,3,3
FL2576-272,189,0.96,5,3,4,3
FL5228-626,227,0.93,3,5,3,5
FL2804-998,268,0.94,3,5,4,5
FL1853-130,272,0.94,3,5,4,4
FL9023-106,193,0.97,4,5,5,4
FL2532-370,267,0.93,4,3,3,5
FL3194-994,233,0.96,4,4,5,5
FL6370-125,184,0.9,3,4,5,5
FL7480-353,232,0.92,5,3,3,4
FL1246-287,176,0.98,4,5,4,4
FL1615-592,296,0.97,4,3,4,5
FL4305-855,209,0.92,4,3,4,4
FL6547-321,198,0.95,4,5,5,4
FL2957-106,190,0.93,4,3,4,3
FL3797-613,152,0.91,3,3,3,5
FL9242-303,164,0.94,5,4,4,5
FL6404-758,236,0.96,4,4,5,3
FL4862-112,223,0.94,3,3,5,4
FL7515-494,234,0.91,5,3,3,3
FL6926-486,152,0.96,3,3,3,3
FL3591-940,299,0.92,3,4,3,5
FL4755-497,161,0.95,4,3,3,4
FL8709-267,178,1.0,4,5,3,3
FL1064-735,257,0.91,5,3,5,4
FL2681-450,293,0.92,5,5,5,4
FL3536-789,209,0.92,5,5,4,3
FL3616-275,231,0.94,4,5,4,4
